date,beds
2020-12-13,256
2020-12-14,262
2020-12-15,292
2020-12-16,291
2020-12-17,301
2020-12-18,311
2020-12-19,322
2020-12-20,355
2020-12-21,378
2020-12-22,400
2020-12-23,411
2020-12-24,462
2020-12-25,455
2020-12-26,489
2020-12-27,520
2020-12-28,556
2020-12-29,599
2020-12-30,640
2020-12-31,664
2021-01-01,657
2021-01-02,713
2021-01-03,772
2021-01-04,814
2021-01-05,866
2021-01-06,908
2021-01-07,961
2021-01-08,1015
2021-01-09,1020
2021-01-10,1044
2021-01-11,1073
2021-01-12,1085
2021-01-13,1138
2021-01-14,1163
2021-01-15,1184
2021-01-16,1206
2021-01-17,1203
2021-01-18,1220
2021-01-19,1207
2021-01-20,1208
2021-01-21,1217
2021-01-22,1219
2021-01-23,1217
2021-01-24,1220
2021-01-25,1200
2021-01-26,1158
2021-01-27,1172
2021-01-28,1208
2021-01-29,1131
2021-01-30,1139
2021-01-31,1065
2021-02-01,1090
2021-02-02,1075
2021-02-03,1067
2021-02-04,1032
2021-02-05,1026
2021-02-06,1016
2021-02-07,977
2021-02-08,951
2021-02-09,934
2021-02-10,905
2021-02-11,888
2021-02-12,859
2021-02-13,865
2021-02-14,855
2021-02-15,834
2021-02-16,790
2021-02-17,749
2021-02-18,706
2021-02-19,705
2021-02-20,667
2021-02-21,667
2021-02-22,653
2021-02-23,552
2021-02-24,604
2021-02-25,577
2021-02-26,556
2021-02-27,540
2021-02-28,455
2021-03-01,511
2021-03-02,485
2021-03-03,479
2021-03-04,458
2021-03-05,448
2021-03-06,417
2021-03-07,393
2021-03-08,379
2021-03-09,358
