,Latest data,Total doses given,Doses per 100 population (raw)
Fiji,2021-04-16,56000.0,6.25
Finland,2021-04-25,1683060.0,30.38
France,2021-04-24,19535141.0,28.67
Gabon,2021-04-23,8897.0,0.4
Gambia,2021-04-24,20922.0,0.87
Georgia,2021-04-24,36056.0,0.9
Germany,2021-04-25,25446941.0,30.37
Ghana,2021-04-20,842521.0,2.71
Gibraltar,2021-04-23,67972.0,201.75
Greece,2021-04-24,2821625.0,27.07
Greenland,2021-04-23,12859.0,22.65
Grenada,2021-04-22,12764.0,11.34
Guatemala,2021-04-23,165271.0,0.92
Guernsey,2021-04-20,46587.0,69.48
Guinea,2021-04-24,129345.0,0.98
Guyana,2021-04-23,113596.0,14.44
Honduras,2021-04-09,57639.0,0.58
Hong Kong,2021-04-25,1275305.0,17.01
Hungary,2021-04-25,5268968.0,54.54
Iceland,2021-04-22,113330.0,33.21
India,2021-04-25,139185173.0,10.09
Indonesia,2021-04-25,18570974.0,6.79
Iran,2021-04-22,667202.0,0.79
Iraq,2021-04-23,298377.0,0.74
Ireland,2021-04-24,1385753.0,28.06
Isle of Man,2021-04-25,69658.0,81.92
Israel,2021-04-25,10401437.0,120.17
Italy,2021-04-25,17751562.0,29.36
Jamaica,2021-04-13,135473.0,4.57
Japan,2021-04-25,2718090.0,2.15
Jersey,2021-04-18,77185.0,76.37
Jordan,2021-04-19,732052.0,7.17
Kazakhstan,2021-04-24,1001805.0,5.34
Kenya,2021-04-21,750471.0,1.4
Kosovo,2021-04-23,22096.0,1.14
Kuwait,2021-04-18,860000.0,20.14
Kyrgyzstan,2021-04-12,2100.0,0.03
Laos,2021-04-25,183678.0,2.52
Latvia,2021-04-25,257586.0,13.66
Lebanon,2021-04-25,415562.0,6.09
Lesotho,2021-04-17,16000.0,0.75
Libya,2021-04-17,750.0,0.01
Liechtenstein,2021-04-21,10457.0,27.42
Lithuania,2021-04-24,877595.0,32.24
Luxembourg,2021-04-22,173153.0,27.66
Macao,2021-04-25,93688.0,14.43
Malawi,2021-04-22,267293.0,1.4
Malaysia,2021-04-25,1305161.0,4.03
Maldives,2021-04-23,360997.0,66.78
Mali,2021-04-25,49903.0,0.25
Malta,2021-04-24,311559.0,70.56
Mauritania,2021-04-18,7038.0,0.15
Mauritius,2021-03-24,117323.0,9.23
Mexico,2021-04-25,16410034.0,12.73
Moldova,2021-04-23,120254.0,2.98
Monaco,2021-04-22,24390.0,62.15
Mongolia,2021-04-25,678692.0,20.7
Montenegro,2021-04-25,59911.0,9.54
Montserrat,2021-04-21,1909.0,38.19
Morocco,2021-04-23,8941120.0,24.22
Mozambique,2021-03-23,57305.0,0.18
Myanmar,2021-03-31,1040000.0,1.91
Namibia,2021-04-25,12833.0,0.51
Nauru,2021-04-09,168.0,1.55
Nepal,2021-04-23,1989248.0,6.83
Netherlands,2021-04-24,5128167.0,29.93
New Zealand,2021-04-20,183351.0,3.8
Nicaragua,2021-04-14,61625.0,0.93
Niger,2021-04-17,1366.0,0.01
Nigeria,2021-04-24,1167837.0,0.57
North America,2021-04-25,261659139.0,44.19
North Macedonia,2021-04-25,51853.0,2.49
Northern Cyprus,2021-04-23,109490.0,28.65
Northern Ireland,2021-04-24,1247931.0,65.9
Norway,2021-04-22,1496745.0,27.61
Oceania,2021-04-25,2177177.0,5.1
Oman,2021-04-21,244821.0,4.79
Pakistan,2021-04-13,1300000.0,0.59
Palestine,2021-04-25,213989.0,4.19
Panama,2021-04-25,619190.0,14.35
Papua New Guinea,2021-04-11,1081.0,0.01
Paraguay,2021-04-22,98666.0,1.38
Peru,2021-04-24,1412281.0,4.28
Philippines,2021-04-24,1753465.0,1.6
Poland,2021-04-25,10343967.0,27.33
Portugal,2021-04-25,3018383.0,29.6
Qatar,2021-04-25,1415761.0,49.14
Romania,2021-04-25,4832203.0,25.12
Russia,2021-04-25,18152707.0,12.44
Rwanda,2021-04-16,349702.0,2.7
Saint Helena,2021-04-09,4572.0,75.31
Saint Kitts and Nevis,2021-04-21,11848.0,22.27
Saint Lucia,2021-04-24,23941.0,13.04
Saint Vincent and the Grenadines,2021-04-24,13852.0,12.49
San Marino,2021-04-23,26025.0,76.68
Sao Tome and Principe,2021-03-29,9724.0,4.44
Saudi Arabia,2021-04-25,8235166.0,23.65
Scotland,2021-04-23,3757787.0,68.78
Senegal,2021-04-25,398941.0,2.38
Serbia,2021-04-24,3253039.0,47.81
Seychelles,2021-04-23,121165.0,123.21
Sierra Leone,2021-04-15,44347.0,0.56
Singapore,2021-04-18,2213888.0,37.84
Slovakia,2021-04-25,1444284.0,26.45
Slovenia,2021-04-25,584303.0,28.11
Solomon Islands,2021-03-31,2000.0,0.29
Somalia,2021-04-17,117567.0,0.74
South Africa,2021-04-13,292623.0,0.49
South America,2021-04-25,68601337.0,15.93
South Korea,2021-04-25,2371793.0,4.63
South Sudan,2021-04-15,947.0,0.01
Spain,2021-04-23,14266251.0,30.51
Sri Lanka,2021-04-11,925242.0,4.32
Sudan,2021-04-23,140227.0,0.32
Suriname,2021-04-24,36503.0,6.22
Sweden,2021-04-23,2796778.0,27.69
Switzerland,2021-04-21,2273981.0,26.27
Syria,2021-04-08,2500.0,0.01
Taiwan,2021-04-24,42672.0,0.18
Thailand,2021-04-25,1149666.0,1.65
Timor,2021-04-14,2629.0,0.2
Togo,2021-04-17,160000.0,1.93
Tonga,2021-04-16,500.0,0.47
Trinidad and Tobago,2021-04-23,27697.0,1.98
Tunisia,2021-04-24,368837.0,3.12
Turkey,2021-04-25,21130963.0,25.05
Turks and Caicos Islands,2021-04-11,25039.0,64.67
Uganda,2021-04-21,268317.0,0.59
Ukraine,2021-04-25,528033.0,1.21
United Arab Emirates,2021-04-25,10215846.0,103.29
United Kingdom,2021-04-25,46650008,68.71814577527616
United States,2021-04-25,228661408.0,68.37
Uruguay,2021-04-25,1602385.0,46.13
Uzbekistan,2021-04-25,544529.0,1.63
Venezuela,2021-04-12,250000.0,0.88
Vietnam,2021-04-25,209632.0,0.22
Wales,2021-04-24,2455634.0,77.89
World,2021-04-25,1025888010.0,13.16
Zambia,2021-04-25,14012.0,0.08
Zimbabwe,2021-04-24,372099.0,2.5
EU-27,,130928617.0,29.244315662372237
