,Belgium,Switzerland,Germany,Spain,France,United Kingdom,Italy,Netherlands,Poland,Sweden
2020-02-12,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-13,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-14,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-15,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-16,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-17,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-18,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-19,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-20,11.11,0.0,11.11,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-21,11.11,0.0,11.11,11.11,5.56,11.11,27.78,0.0,5.56,5.56
2020-02-22,11.11,0.0,11.11,11.11,5.56,11.11,37.04,0.0,5.56,5.56
2020-02-23,11.11,0.0,11.11,11.11,5.56,11.11,69.91,0.0,5.56,5.56
2020-02-24,11.11,0.0,11.11,11.11,5.56,11.11,69.91,0.0,5.56,5.56
2020-02-25,11.11,8.33,11.11,11.11,13.89,11.11,69.91,0.0,5.56,5.56
2020-02-26,11.11,8.33,16.67,11.11,13.89,11.11,69.91,0.0,5.56,5.56
2020-02-27,11.11,13.89,16.67,11.11,13.89,11.11,69.91,5.56,11.11,5.56
2020-02-28,11.11,19.44,19.44,11.11,13.89,11.11,69.91,5.56,11.11,5.56
2020-02-29,11.11,19.44,25.0,11.11,34.72,11.11,69.91,5.56,11.11,5.56
2020-03-01,11.11,19.44,25.0,11.11,34.72,11.11,69.91,5.56,11.11,5.56
2020-03-02,11.11,19.44,25.0,11.11,43.98,11.11,69.91,5.56,11.11,13.89
2020-03-03,11.11,25.0,25.0,11.11,43.98,11.11,69.91,5.56,11.11,13.89
2020-03-04,13.89,25.0,25.0,11.11,43.98,11.11,72.69,5.56,11.11,19.44
2020-03-05,13.89,25.0,25.0,11.11,43.98,11.11,74.54,5.56,11.11,19.44
2020-03-06,13.89,25.0,25.0,11.11,43.98,11.11,74.54,11.11,11.11,19.44
2020-03-07,13.89,25.0,25.0,11.11,43.98,11.11,74.54,11.11,11.11,19.44
2020-03-08,13.89,25.0,25.0,11.11,43.98,11.11,74.54,11.11,11.11,19.44
2020-03-09,13.89,25.0,28.7,25.0,43.98,11.11,74.54,11.11,13.89,19.44
2020-03-10,19.44,25.0,32.87,45.83,43.98,11.11,82.41,20.83,25.0,19.44
2020-03-11,19.44,25.0,32.87,45.83,43.98,11.11,85.19,20.83,25.0,19.44
2020-03-12,19.44,25.0,32.87,45.83,43.98,11.11,85.19,45.37,41.67,30.56
2020-03-13,23.15,33.33,32.87,45.83,43.98,12.96,85.19,53.7,41.67,30.56
2020-03-14,50.93,33.33,32.87,67.13,49.54,12.96,85.19,53.7,49.07,30.56
2020-03-15,50.93,33.33,32.87,67.13,49.54,12.96,85.19,53.7,57.41,30.56
2020-03-16,50.93,44.44,42.13,68.98,56.94,16.67,85.19,61.11,57.41,34.26
2020-03-17,50.93,73.15,42.13,71.76,87.96,22.22,85.19,61.11,57.41,41.67
2020-03-18,73.15,73.15,52.31,71.76,87.96,31.48,85.19,61.11,57.41,41.67
2020-03-19,73.15,73.15,55.09,71.76,87.96,31.48,85.19,61.11,57.41,47.22
2020-03-20,81.48,73.15,57.87,71.76,87.96,37.04,91.67,61.11,57.41,47.22
2020-03-21,81.48,73.15,68.06,71.76,87.96,47.22,91.67,61.11,57.41,47.22
2020-03-22,81.48,73.15,76.85,71.76,87.96,62.04,91.67,61.11,57.41,47.22
2020-03-23,81.48,73.15,76.85,71.76,87.96,78.24,91.67,78.7,57.41,47.22
2020-03-24,81.48,73.15,76.85,71.76,87.96,79.63,91.67,78.7,57.41,47.22
2020-03-25,81.48,73.15,76.85,71.76,87.96,79.63,91.67,78.7,57.41,50.93
2020-03-26,81.48,73.15,76.85,71.76,87.96,79.63,91.67,78.7,57.41,50.93
2020-03-27,81.48,73.15,76.85,71.76,87.96,79.63,91.67,78.7,57.41,50.93
2020-03-28,81.48,73.15,76.85,71.76,87.96,79.63,91.67,78.7,57.41,50.93
2020-03-29,81.48,73.15,76.85,71.76,87.96,79.63,91.67,78.7,57.41,59.26
2020-03-30,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,57.41,59.26
2020-03-31,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,59.26
2020-04-01,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-02,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-03,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-04,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-05,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-06,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-07,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-08,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,81.48,64.81
2020-04-09,81.48,73.15,76.85,85.19,87.96,79.63,91.67,78.7,83.33,64.81
2020-04-10,81.48,73.15,76.85,85.19,87.96,79.63,87.96,78.7,83.33,64.81
2020-04-11,81.48,73.15,76.85,85.19,87.96,79.63,87.96,78.7,83.33,64.81
2020-04-12,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-13,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-14,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-15,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-16,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-17,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-18,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-19,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-20,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-21,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-22,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-23,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-24,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-25,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-26,81.48,73.15,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-27,81.48,69.44,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-28,81.48,69.44,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-29,81.48,69.44,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-04-30,81.48,69.44,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-05-01,81.48,69.44,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-05-02,81.48,69.44,76.85,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-05-03,81.48,69.44,75.46,85.19,87.96,79.63,93.52,78.7,83.33,64.81
2020-05-04,81.48,69.44,71.76,81.94,87.96,79.63,68.52,78.7,83.33,64.81
2020-05-05,78.7,69.44,71.76,81.94,87.96,79.63,68.52,78.7,83.33,64.81
2020-05-06,78.7,69.44,66.2,81.94,87.96,79.63,68.52,78.7,83.33,64.81
2020-05-07,78.7,69.44,64.35,81.94,87.96,79.63,68.52,78.7,83.33,64.81
2020-05-08,78.7,69.44,64.35,81.94,87.96,79.63,68.52,78.7,83.33,64.81
2020-05-09,78.7,69.44,64.35,81.94,87.96,79.63,68.52,78.7,83.33,64.81
2020-05-10,78.7,69.44,64.35,81.94,87.96,79.63,68.52,78.7,83.33,64.81
2020-05-11,75.0,58.33,64.35,81.94,76.85,77.78,68.52,71.3,83.33,64.81
2020-05-12,75.0,58.33,64.35,81.94,76.85,77.78,68.52,71.3,83.33,64.81
2020-05-13,75.0,58.33,64.35,83.33,76.85,71.3,68.52,71.3,83.33,64.81
2020-05-14,75.0,58.33,64.35,83.33,76.85,71.3,68.52,71.3,83.33,64.81
2020-05-15,75.0,58.33,64.35,83.33,76.85,71.3,68.52,71.3,83.33,64.81
2020-05-16,75.0,58.33,61.57,83.33,76.85,71.3,72.22,71.3,83.33,64.81
2020-05-17,75.0,58.33,61.57,79.17,76.85,71.3,72.22,71.3,83.33,64.81
2020-05-18,75.0,58.33,61.57,79.17,76.85,71.3,63.89,71.3,83.33,64.81
2020-05-19,75.0,58.33,59.72,79.17,76.85,71.3,63.89,71.3,83.33,64.81
2020-05-20,75.0,58.33,59.72,79.17,76.85,71.3,63.89,71.3,83.33,64.81
2020-05-21,75.0,58.33,59.72,79.17,76.85,71.3,63.89,71.3,83.33,64.81
2020-05-22,75.0,58.33,59.72,75.46,76.85,71.3,63.89,71.3,83.33,64.81
2020-05-23,75.0,58.33,59.72,75.46,76.85,71.3,63.89,71.3,83.33,64.81
2020-05-24,75.0,58.33,59.72,75.46,76.85,71.3,63.89,71.3,83.33,64.81
2020-05-25,75.0,58.33,59.72,75.46,76.85,71.3,63.89,71.3,79.63,64.81
2020-05-26,75.0,58.33,59.72,71.76,75.0,71.3,63.89,71.3,79.63,64.81
2020-05-27,75.0,58.33,59.72,68.06,75.0,71.3,63.89,71.3,79.63,64.81
2020-05-28,75.0,58.33,59.72,68.06,75.0,71.3,63.89,71.3,79.63,64.81
2020-05-29,75.0,58.33,59.72,68.06,75.0,69.44,63.89,71.3,79.63,64.81
2020-05-30,75.0,55.56,59.72,68.06,75.0,69.44,63.89,71.3,64.81,64.81
2020-05-31,75.0,55.56,59.72,68.06,75.0,69.44,63.89,71.3,64.81,64.81
2020-06-01,75.0,55.56,59.72,66.67,75.0,67.59,63.89,62.96,64.81,64.81
2020-06-02,75.0,55.56,59.72,66.67,72.22,67.59,63.89,62.96,53.7,64.81
2020-06-03,75.0,55.56,59.72,66.67,72.22,67.59,52.78,62.96,53.7,64.81
2020-06-04,75.0,55.56,59.72,66.67,72.22,67.59,52.78,62.96,53.7,64.81
2020-06-05,73.15,55.56,59.72,66.67,72.22,67.59,52.78,62.96,53.7,64.81
2020-06-06,73.15,46.3,59.72,66.67,72.22,67.59,52.78,62.96,53.7,64.81
2020-06-07,73.15,46.3,59.72,66.67,72.22,67.59,52.78,62.96,53.7,64.81
2020-06-08,51.85,46.3,59.72,57.41,72.22,73.15,52.78,62.96,53.7,64.81
2020-06-09,51.85,46.3,59.72,57.41,72.22,73.15,52.78,62.96,53.7,64.81
2020-06-10,51.85,46.3,59.72,57.41,72.22,73.15,52.78,62.96,53.7,64.81
2020-06-11,51.85,46.3,59.72,57.41,72.22,73.15,52.78,62.96,53.7,64.81
2020-06-12,51.85,46.3,59.72,57.41,72.22,73.15,52.78,62.96,53.7,64.81
2020-06-13,51.85,46.3,59.72,57.41,72.22,73.15,52.78,62.96,53.7,59.26
2020-06-14,51.85,46.3,59.72,57.41,72.22,73.15,52.78,62.96,53.7,59.26
2020-06-15,51.85,46.3,59.72,57.41,72.22,71.3,58.33,59.26,50.93,59.26
2020-06-16,51.85,46.3,59.72,57.41,72.22,71.3,58.33,59.26,50.93,59.26
2020-06-17,51.85,46.3,59.72,57.41,72.22,71.3,58.33,59.26,50.93,59.26
2020-06-18,51.85,46.3,63.43,57.41,72.22,71.3,58.33,59.26,50.93,59.26
2020-06-19,51.85,46.3,63.43,57.41,72.22,71.3,58.33,59.26,50.93,59.26
2020-06-20,51.85,46.3,63.43,57.41,72.22,71.3,58.33,59.26,50.93,59.26
2020-06-21,51.85,46.3,63.43,41.2,72.22,71.3,58.33,59.26,50.93,59.26
2020-06-22,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-23,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-24,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-25,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-26,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-27,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-28,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-29,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-06-30,51.85,35.19,63.43,41.2,51.85,71.3,58.33,59.26,50.93,59.26
2020-07-01,50.0,35.19,63.43,41.2,51.85,71.3,58.33,39.81,50.93,59.26
2020-07-02,50.0,35.19,63.43,41.2,51.85,71.3,58.33,39.81,50.93,59.26
2020-07-03,50.0,39.35,63.43,41.2,51.85,71.3,58.33,39.81,50.93,59.26
2020-07-04,50.0,39.35,63.43,56.94,51.85,69.91,58.33,39.81,50.93,59.26
2020-07-05,50.0,39.35,63.43,56.94,51.85,69.91,58.33,39.81,50.93,59.26
2020-07-06,50.0,39.35,63.43,56.94,51.85,64.35,58.33,39.81,50.93,59.26
2020-07-07,50.0,39.35,55.09,56.94,51.85,64.35,58.33,39.81,50.93,59.26
2020-07-08,50.0,39.35,55.09,56.94,51.85,64.35,58.33,39.81,50.93,59.26
2020-07-09,50.0,39.35,55.09,56.94,51.85,64.35,58.33,39.81,39.81,59.26
2020-07-10,50.0,39.35,55.09,56.94,51.85,64.35,58.33,39.81,39.81,59.26
2020-07-11,50.0,39.35,55.09,56.94,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-12,50.0,39.35,55.09,56.94,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-13,50.0,39.35,55.09,56.94,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-14,50.0,39.35,55.09,56.94,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-15,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-16,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-17,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-18,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-19,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-20,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-21,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-22,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-23,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-24,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-25,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-26,50.0,39.35,55.09,64.35,46.3,64.35,58.33,39.81,39.81,59.26
2020-07-27,50.0,39.35,55.09,64.35,46.3,64.35,50.93,39.81,39.81,59.26
2020-07-28,52.78,39.35,55.09,64.35,46.3,64.35,50.93,39.81,39.81,59.26
2020-07-29,61.11,39.35,55.09,64.35,46.3,64.35,50.93,39.81,39.81,59.26
2020-07-30,61.11,39.35,55.09,64.35,46.3,64.35,50.93,39.81,39.81,59.26
2020-07-31,61.11,43.06,57.87,64.35,46.3,64.35,50.93,39.81,39.81,59.26
2020-08-01,61.11,43.06,57.87,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-02,61.11,43.06,57.87,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-03,61.11,43.06,57.87,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-04,61.11,43.06,57.87,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-05,61.11,43.06,57.87,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-06,61.11,43.06,57.87,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-07,57.41,43.06,59.72,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-08,57.41,43.06,56.94,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-09,62.96,43.06,56.94,64.35,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-10,62.96,43.06,56.94,60.65,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-11,62.96,43.06,56.94,60.65,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-12,58.33,43.06,56.94,60.65,46.3,69.91,50.93,39.81,39.81,59.26
2020-08-13,58.33,43.06,56.94,60.65,46.3,66.2,50.93,39.81,39.81,59.26
2020-08-14,58.33,43.06,56.94,62.5,48.15,66.2,50.93,39.81,39.81,59.26
2020-08-15,58.33,43.06,56.94,62.5,48.15,66.2,50.93,39.81,39.81,59.26
2020-08-16,58.33,43.06,56.94,62.5,48.15,66.2,50.93,39.81,39.81,59.26
2020-08-17,58.33,43.06,56.94,62.5,48.15,66.2,54.63,39.81,39.81,55.56
2020-08-18,58.33,43.06,56.94,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-19,58.33,43.06,56.94,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-20,58.33,43.06,56.94,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-21,58.33,43.06,56.94,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-22,58.33,43.06,56.94,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-23,58.33,43.06,56.94,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-24,58.33,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-25,58.33,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-26,58.33,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-27,52.78,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-28,52.78,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-29,52.78,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-30,52.78,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-08-31,52.78,43.06,59.72,62.5,48.15,66.2,54.63,50.93,39.81,55.56
2020-09-01,52.78,43.06,59.72,62.5,46.76,64.35,54.63,50.93,36.11,55.56
2020-09-02,52.78,43.06,59.72,62.5,46.76,64.35,54.63,50.93,36.11,55.56
2020-09-03,52.78,43.06,57.87,62.5,48.61,64.35,54.63,50.93,36.11,55.56
2020-09-04,52.78,43.06,49.54,62.5,48.61,64.35,54.63,50.93,36.11,55.56
2020-09-05,52.78,43.06,49.54,62.5,48.61,64.35,54.63,50.93,36.11,55.56
2020-09-06,52.78,43.06,49.54,62.5,48.61,64.35,54.63,50.93,36.11,55.56
2020-09-07,52.78,43.06,49.54,60.65,48.61,64.35,52.78,50.93,36.11,55.56
2020-09-08,52.78,43.06,49.54,60.65,48.61,64.35,52.78,50.93,36.11,55.56
2020-09-09,52.78,43.06,49.54,60.65,48.61,64.35,52.78,50.93,36.11,55.56
2020-09-10,52.78,43.06,49.54,60.65,48.61,64.35,52.78,50.93,36.11,55.56
2020-09-11,52.78,43.06,49.54,60.65,48.61,64.35,52.78,50.93,36.11,55.56
2020-09-12,52.78,43.06,49.54,60.65,48.61,64.35,52.78,50.93,36.11,55.56
2020-09-13,52.78,43.06,49.54,60.65,48.61,64.35,52.78,50.93,36.11,55.56
2020-09-14,52.78,43.06,49.54,60.65,48.61,65.74,52.78,50.93,36.11,55.56
2020-09-15,52.78,43.06,49.54,60.65,48.61,65.74,52.78,50.93,36.11,55.56
2020-09-16,52.78,43.06,49.54,60.65,48.61,65.74,52.78,50.93,36.11,55.56
2020-09-17,52.78,43.06,49.54,60.65,48.61,65.74,52.78,50.93,36.11,55.56
2020-09-18,52.78,43.06,49.54,60.65,48.61,65.74,52.78,50.93,23.15,55.56
2020-09-19,52.78,43.06,49.54,60.65,48.61,65.74,52.78,50.93,23.15,55.56
2020-09-20,52.78,43.06,49.54,60.65,48.61,65.74,52.78,48.15,23.15,55.56
2020-09-21,52.78,43.06,49.54,60.65,48.61,65.74,49.07,48.15,23.15,55.56
2020-09-22,52.78,43.06,49.54,60.65,46.76,65.74,49.07,48.15,23.15,55.56
2020-09-23,52.78,43.06,49.54,60.65,46.76,65.74,49.07,48.15,23.15,55.56
2020-09-24,52.78,43.06,49.54,60.65,46.76,67.59,49.07,48.15,23.15,55.56
2020-09-25,52.78,43.06,49.54,60.65,46.76,67.59,49.07,48.15,23.15,55.56
2020-09-26,52.78,43.06,49.54,60.65,49.54,67.59,49.07,48.15,23.15,55.56
2020-09-27,52.78,43.06,49.54,60.65,49.54,67.59,49.07,48.15,23.15,55.56
2020-09-28,52.78,43.06,49.54,60.65,49.54,67.59,49.07,48.15,23.15,55.56
2020-09-29,52.78,43.06,49.54,60.65,49.54,67.59,49.07,62.04,23.15,55.56
2020-09-30,47.22,43.06,49.54,60.65,49.54,67.59,49.07,62.04,23.15,55.56
2020-10-01,47.22,31.94,49.54,60.65,49.54,67.59,47.22,62.04,23.15,55.56
2020-10-02,47.22,31.94,49.54,60.65,49.54,67.59,47.22,62.04,23.15,55.56
2020-10-03,47.22,31.94,49.54,60.65,49.54,67.59,47.22,62.04,23.15,55.56
2020-10-04,47.22,31.94,49.54,60.65,49.54,67.59,47.22,62.04,23.15,55.56
2020-10-05,47.22,31.94,49.54,60.65,49.54,67.59,47.22,62.04,23.15,55.56
2020-10-06,47.22,31.94,49.54,60.65,49.54,67.59,50.0,62.04,23.15,55.56
2020-10-07,47.22,31.94,49.54,64.35,49.54,67.59,50.0,62.04,23.15,55.56
2020-10-08,47.22,31.94,49.54,64.35,49.54,67.59,50.0,62.04,23.15,55.56
2020-10-09,47.22,31.94,49.54,64.35,49.54,67.59,50.0,62.04,23.15,55.56
2020-10-10,47.22,29.17,49.54,64.35,43.98,67.59,50.0,62.04,37.04,55.56
2020-10-11,47.22,29.17,49.54,64.35,43.98,67.59,50.0,62.04,37.04,55.56
2020-10-12,47.22,29.17,49.54,64.35,43.98,60.19,50.0,62.04,37.04,55.56
2020-10-13,47.22,29.17,49.54,64.35,43.98,60.19,50.0,62.04,37.04,55.56
2020-10-14,47.22,29.17,49.54,64.35,43.98,60.19,50.0,62.04,37.04,55.56
2020-10-15,47.22,29.17,58.8,64.35,43.98,60.19,50.0,62.04,37.04,55.56
2020-10-16,47.22,29.17,58.8,64.35,43.98,60.19,50.0,62.04,37.04,55.56
2020-10-17,47.22,29.17,58.8,64.35,49.54,60.19,50.0,62.04,32.87,55.56
2020-10-18,47.22,29.17,58.8,64.35,49.54,60.19,50.0,62.04,32.87,55.56
2020-10-19,54.63,32.87,58.8,64.35,49.54,65.74,50.0,62.04,34.72,55.56
2020-10-20,54.63,35.65,58.8,64.35,49.54,65.74,50.0,62.04,34.72,55.56
2020-10-21,54.63,35.65,58.8,64.35,49.54,65.74,50.0,62.04,34.72,55.56
